Unique ID,State/UT,District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status
KN/RCR/2024/27/1406,Karnataka,Raichur,Food Poisoning,32,0,05-07-2024,06-07-2024,Under Control
KN/SHI/2024/27/1407,Karnataka,Shivamogga,Zika Virus,3,0,04-07-2024,04-07-2024,Under Surveillance
KN/UDU/2024/27/1408,Karnataka,Udupi,Acute Diarrheal Disease,12,0,30-06-2024,01-07-2024,Under Control
KL/ERN/2024/27/1409,Kerala,Ernakulam,Dengue,129,0,01-07-2024,05-07-2024,Under Surveillance
KL/KTM/2024/27/1410,Kerala,Kottayam,Acute Diarrheal Disease,26,0,05-07-2024,05-07-2024,Under Control
KL/THI/2024/27/1411,Kerala,Thiruvananthapuram,Acute Diarrheal Disease,82,0,02-07-2024,03-07-2024,Under Surveillance
KL/WYN/2024/27/1412,Kerala,Wayanad,Mumps,11,0,29-06-2024,06-07-2024,Under Surveillance
KL/WYN/2024/27/1413,Kerala,Wayanad,Mumps,13,0,26-06-2024,06-07-2024,Under Surveillance
MP/HAR/2024/27/1414,Madhya Pradesh,Harda,Acute Diarrheal Disease,53,0,02-07-2024,03-07-2024,Under Surveillance
MP/HAR/2024/27/1415,Madhya Pradesh,Harda,Acute Diarrheal Disease,35,0,01-07-2024,01-07-2024,Under Surveillance
MP/INR/2024/27/1416,Madhya Pradesh,Indore,Dengue,69,0,02-07-2024,03-07-2024,Under Surveillance
MP/INR/2024/27/1417,Madhya Pradesh,Indore,Cholera,63,0,03-07-2024,03-07-2024,Under Control
MP/SAG/2024/27/1422,Madhya Pradesh,Sagar,Cholera,251,3,05-07-2024,05-07-2024,Under Surveillance
AP/CTR/2024/28/1435,Andhra Pradesh,Chittoor,Food Poisoning,42,0,12-07-2024,12-07-2024,Under Control
AP/CTR/2024/28/1436,Andhra Pradesh,Chittoor,Acute Diarrheal Disease,18,0,10-07-2024,11-07-2024,Under Control
AP/KUR/2024/28/1437,Andhra Pradesh,Nandyal,Acute Diarrheal Disease,22,0,09-07-2024,10-07-2024,Under Control
AR/LGG/2024/28/1438,Arunachal Pradesh,Longding,Cholera,90,2,08-07-2024,10-07-2024,Under Surveillance
AS/KMR/2024/28/1439,Assam,Kamrup Metro,Chickenpox,75,0,07-07-2024,09-07-2024,Under Control
AS/NGO/2024/28/1440,Assam,Nagaon,Hepatitis A,11,0,11-07-2024,12-07-2024,Under Surveillance
BH/JAH/2024/28/1441,Bihar,Jehanabad,Acute Diarrheal Disease,24,1,13-07-2024,13-07-2024,Under Control
CT/BLS/2024/28/1442,Chhattisgarh,Bilaspur,Acute Diarrheal Disease,76,0,10-07-2024,10-07-2024,Under Control
CT/KAW/2024/28/1443,Chhattisgarh,Kabirdham,Acute Diarrheal Disease,38,0,11-07-2024,11-07-2024,Under Surveillance
GJ/AHM/2024/28/1444,Gujarat,Ahmadabad,Food Poisoning,68,0,12-07-2024,12-07-2024,Under Control
GJ/AND/2024/28/1445,Gujarat,Anand,Cholera,200,1,11-07-2024,12-07-2024,Under Surveillance
GJ/KHD/2024/28/1446,Gujarat,Kheda,Acute Diarrheal Disease,78,0,10-07-2024,10-07-2024,Under Control
HP/KNG/2024/28/1447,Himachal Pradesh,Kangra,Acute Diarrheal Disease,150,0,12-07-2024,12-07-2024,Under Surveillance
JK/KWR/2024/28/1448,Jammu and Kashmir,Kupwara,Mumps,18,0,09-07-2024,10-07-2024,Under Surveillance
JH/GML/2024/28/1449,Jharkhand,Gumla,Measles,8,0,08-07-2024,09-07-2024,Under Control
KN/KPP/2024/28/1450,Karnataka,Koppal,Acute Diarrheal Disease,55,0,10-07-2024,11-07-2024,Under Surveillance
KN/MNY/2024/28/1451,Karnataka,Mandya,Acute Diarrheal Disease,30,0,09-07-2024,10-07-2024,Under Control
MH/KOP/2024/28/1452,Maharashtra,Kolhapur,Dengue,35,0,12-07-2024,12-07-2024,Under Surveillance
MH/PNE/2024/28/1453,Maharashtra,Pune,Cholera,9,0,11-07-2024,12-07-2024,Under Control
OR/KPT/2024/28/1454,Odisha,Koraput,Diphtheria,2,1,10-07-2024,11-07-2024,Under Surveillance
OR/MAL/2024/28/1455,Odisha,Malkangiri,Acute Diarrheal Disease,10,0,11-07-2024,12-07-2024,Under Control
TN/TVM/2024/28/1456,Tamil Nadu,Tiruvannamalai,Acute Diarrheal Disease,15,0,12-07-2024,12-07-2024,Under Control
UP/FAT/2024/28/1457,Uttar Pradesh,Kannauj,Food Poisoning,30,0,11-07-2024,12-07-2024,Under Surveillance
WB/HGL/2024/28/1458,West Bengal,Hooghly,Food Poisoning,55,0,10-07-2024,10-07-2024,Under Control
AP/PLU/2024/29/1554,Andhra Pradesh,Palnadu,Acute Diarrheal Disease,64,0,12-07-2024,20-07-2024,Under Control
AP/TPT/2024/29/1555,Andhra Pradesh,Tirupati,Food Poisoning,135,0,15-07-2024,18-07-2024,Under Control
AP/TPT/2024/29/1556,Andhra Pradesh,Tirupati,Food Poisoning,18,2,15-07-2024,18-07-2024,Under Control
AR/LDA/2024/29/1557,Arunachal Pradesh,Leparada,Acute Diarrheal Disease,16,0,18-07-2024,19-07-2024,Under Control
AR/LHT/2024/29/1558,Arunachal Pradesh,Lohit,Shigellosis,29,0,18-07-2024,18-07-2024,Under Control
AS/CHG/2024/29/1559,Assam,Chirang,Japanese Encephalitis,3,0,19-07-2024,21-07-2024,Under Control
AS/GLP/2024/29/1560,Assam,Goalpara,Human Rabies,1,1,18-07-2024,18-07-2024,Under Control
AS/GLP/2024/29/1561,Assam,Goalpara,Acute Diarrheal Disease,35,0,17-07-2024,17-07-2024,Under Control
AS/KAG/2024/29/1562,Assam,Karbi Anglong,Japanese Encephalitis,2,2,19-07-2024,21-07-2024,Under Control
AS/SNP/2024/29/1563,Assam,Sonitpur,Fever,30,0,18-07-2024,19-07-2024,Under Control
BH/PTN/2024/29/1564,Bihar,Patna,Cholera,25,0,20-06-2024,20-07-2024,Under Control
CT/BJP/2024/29/1565,Chhattisgarh,Bijapur,Malaria,4,2,15-07-2024,15-07-2024,Under Surveillance
CT/BLS/2024/29/1566,Chhattisgarh,Bilaspur,Acute Diarrheal Disease,118,0,12-07-2024,15-07-2024,Under Control
CT/DRG/2024/29/1567,Chhattisgarh,Durg,Cholera,225,0,20-07-2024,21-07-2024,Under Surveillance
CT/DRG/2024/29/1568,Chhattisgarh,Durg,Cholera,96,0,18-07-2024,18-07-2024,Under Surveillance
CT/JGC/2024/29/1569,Chhattisgarh,Janjgir-Champa,Acute Diarrheal Disease,237,2,16-07-2024,16-07-2024,Under Control
CT/KBD/2024/29/1570,Chhattisgarh,Kabirdham,Acute Diarrheal Disease,113,0,12-07-2024,15-07-2024,Under Surveillance
GJ/NRM/2024/29/1571,Gujarat,Narmada,Measles,8,0,18-07-2024,19-07-2024,Under Surveillance
GJ/VDD/2024/29/1572,Gujarat,Vadodara,Cholera,40,0,16-07-2024,16-07-2024,Under Control
HR/FTB/2024/29/1573,Haryana,Fatehabad,Cholera,140,0,13-07-2024,17-07-2024,Under Surveillance
JK/ANG/2024/29/1574,Jammu and Kashmir,Anantnag,Acute Diarrheal Disease,142,0,20-07-2024,20-07-2024,Under Surveillance
JK/GDB/2024/29/1575,Jammu and Kashmir,Ganderbal,Hepatitis A,9,0,16-07-2024,18-07-2024,Under Surveillance
JK/KPW/2024/29/1576,Jammu and Kashmir,Kupwara,Measles,6,0,17-07-2024,17-07-2024,Under Control
JK/POH/2024/29/1577,Jammu and Kashmir,Poonch,Food Poisoning,13,0,17-07-2024,18-07-2024,Under Control
JH/RAN/2024/29/1578,Jharkhand,Ranchi,Dengue,10,0,13-07-2024,15-07-2024,Under Control
KN/MND/2024/29/1579,Karnataka,Mandya,Fever,21,0,19-07-2024,19-07-2024,Under Control
KN/RCR/2024/29/1580,Karnataka,Raichur,Acute Diarrheal Disease,50,0,20-07-2024,21-07-2024,Under Control
KN/UPP/2024/29/1581,Karnataka,Udupi,Hepatitis A,24,0,18-07-2024,19-07-2024,Under Control
KN/YDG/2024/29/1582,Karnataka,Yadgir,Cholera,71,0,20-07-2024,20-07-2024,Under Control
KL/APZ/2024/29/1583,Kerala,Alappuzha,Food Poisoning,34,0,19-07-2024,20-07-2024,Under Surveillance
KL/KTM/2024/29/1584,Kerala,Kottayam,Hepatitis A,31,0,18-07-2024,18-07-2024,Under Surveillance
KL/KTM/2024/29/1585,Kerala,Kottayam,Hepatitis A,18,0,18-07-2024,18-07-2024,Under Surveillance
KL/KTM/2024/29/1586,Kerala,Kottayam,Mumps,23,0,17-07-2024,17-07-2024,Under Surveillance
KL/KOZ/2024/29/1587,Kerala,Kozhikode,Jaundice,55,0,18-07-2024,19-07-2024,Under Surveillance
KL/PAT/2024/29/1588,Kerala,Pathanamthitta,Leptospirosis,8,0,19-07-2024,19-07-2024,Under Surveillance
KL/WYN/2024/29/1589,Kerala,Wayanad,Mumps,18,0,08-07-2024,19-07-2024,Under Surveillance
AP/CTR/2024/30/1602,Andhra Pradesh,Chittoor,Food Poisoning,38,0,22-07-2024,23-07-2024,Under Control
AP/KRS/2024/30/1603,Andhra Pradesh,Krishna,Acute Diarrheal Disease,45,0,20-07-2024,22-07-2024,Under Control
AP/PKS/2024/30/1604,Andhra Pradesh,Prakasam,Cholera,16,0,24-07-2024,25-07-2024,Under Surveillance
AR/TWN/2024/30/1605,Arunachal Pradesh,Tawang,Measles,8,0,22-07-2024,24-07-2024,Under Surveillance
AS/GLP/2024/30/1606,Assam,Goalpara,Japanese Encephalitis,4,0,20-07-2024,22-07-2024,Under Control
AS/NLB/2024/30/1607,Assam,Nalbari,Dengue,6,0,22-07-2024,24-07-2024,Under Surveillance
BH/PTN/2024/30/1608,Bihar,Patna,Food Poisoning,29,0,23-07-2024,24-07-2024,Under Control
CT/DRG/2024/30/1609,Chhattisgarh,Durg,Acute Diarrheal Disease,102,0,22-07-2024,23-07-2024,Under Surveillance
CT/JGC/2024/30/1610,Chhattisgarh,Janjgir-Champa,Cholera,215,0,21-07-2024,23-07-2024,Under Control
CT/KBD/2024/30/1611,Chhattisgarh,Kabirdham,Acute Diarrheal Disease,87,0,22-07-2024,24-07-2024,Under Surveillance
GJ/AHM/2024/30/1612,Gujarat,Ahmadabad,Cholera,59,0,20-07-2024,23-07-2024,Under Control
GJ/KHD/2024/30/1613,Gujarat,Kheda,Acute Diarrheal Disease,72,0,24-07-2024,25-07-2024,Under Surveillance
JK/KPW/2024/30/1614,Jammu and Kashmir,Kupwara,Mumps,16,0,21-07-2024,23-07-2024,Under Surveillance
JK/RJR/2024/30/1615,Jammu and Kashmir,Rajauri,Acute Diarrheal Disease,48,0,22-07-2024,24-07-2024,Under Control
JH/DHN/2024/30/1616,Jharkhand,Dhanbad,Chickenpox,10,0,20-07-2024,22-07-2024,Under Control
KN/MND/2024/30/1617,Karnataka,Mandya,Acute Diarrheal Disease,35,0,23-07-2024,24-07-2024,Under Surveillance
KN/RCR/2024/30/1618,Karnataka,Raichur,Dengue,14,0,22-07-2024,23-07-2024,Under Control
KL/MLP/2024/30/1619,Kerala,Malappuram,Hepatitis A,22,0,23-07-2024,24-07-2024,Under Surveillance
KL/PKD/2024/30/1620,Kerala,Palakkad,Acute Diarrheal Disease,17,0,22-07-2024,23-07-2024,Under Control
MP/IND/2024/30/1621,Madhya Pradesh,Indore,Cholera,112,0,21-07-2024,22-07-2024,Under Surveillance
MP/SAG/2024/30/1622,Madhya Pradesh,Sagar,Acute Diarrheal Disease,89,0,23-07-2024,24-07-2024,Under Control
MH/KOP/2024/30/1623,Maharashtra,Kolhapur,Dengue,29,0,22-07-2024,24-07-2024,Under Surveillance
MH/NAS/2024/30/1624,Maharashtra,Nashik,Cholera,15,0,21-07-2024,23-07-2024,Under Control
OR/KPT/2024/30/1625,Odisha,Koraput,Food Poisoning,11,0,22-07-2024,24-07-2024,Under Control
UP/GKP/2024/30/1626,Uttar Pradesh,Gorakhpur,Japanese Encephalitis,5,0,20-07-2024,22-07-2024,Under Control
WB/HGL/2024/30/1627,West Bengal,Hooghly,Food Poisoning,42,0,22-07-2024,23-07-2024,Under Control
AP/CTR/2024/31/1650,Andhra Pradesh,Chittoor,Food Poisoning,44,0,29-07-2024,30-07-2024,Under Control
AP/KRS/2024/31/1651,Andhra Pradesh,Krishna,Acute Diarrheal Disease,51,0,28-07-2024,30-07-2024,Under Control
AP/PKS/2024/31/1652,Andhra Pradesh,Prakasam,Cholera,21,0,27-07-2024,30-07-2024,Under Surveillance
AR/TWN/2024/31/1653,Arunachal Pradesh,Tawang,Measles,10,0,29-07-2024,30-07-2024,Under Surveillance
AS/GLP/2024/31/1654,Assam,Goalpara,Japanese Encephalitis,4,0,28-07-2024,30-07-2024,Under Control
AS/NLB/2024/31/1655,Assam,Nalbari,Dengue,6,0,28-07-2024,30-07-2024,Under Surveillance
BH/PTN/2024/31/1656,Bihar,Patna,Food Poisoning,33,0,28-07-2024,30-07-2024,Under Control
CT/DRG/2024/31/1657,Chhattisgarh,Durg,Acute Diarrheal Disease,98,0,28-07-2024,30-07-2024,Under Surveillance
CT/JGC/2024/31/1658,Chhattisgarh,Janjgir-Champa,Cholera,225,0,28-07-2024,30-07-2024,Under Control
GJ/AHM/2024/31/1659,Gujarat,Ahmadabad,Cholera,64,0,28-07-2024,30-07-2024,Under Control
GJ/KHD/2024/31/1660,Gujarat,Kheda,Acute Diarrheal Disease,79,0,28-07-2024,30-07-2024,Under Surveillance
JK/KPW/2024/31/1661,Jammu and Kashmir,Kupwara,Mumps,19,0,28-07-2024,30-07-2024,Under Surveillance
JH/DHN/2024/31/1662,Jharkhand,Dhanbad,Chickenpox,12,0,28-07-2024,30-07-2024,Under Control
KN/MND/2024/31/1663,Karnataka,Mandya,Acute Diarrheal Disease,38,0,28-07-2024,30-07-2024,Under Surveillance
KL/MLP/2024/31/1664,Kerala,Malappuram,Hepatitis A,24,0,28-07-2024,30-07-2024,Under Surveillance
MP/IND/2024/31/1665,Madhya Pradesh,Indore,Cholera,115,0,28-07-2024,30-07-2024,Under Surveillance
MP/SAG/2024/31/1666,Madhya Pradesh,Sagar,Acute Diarrheal Disease,91,0,28-07-2024,30-07-2024,Under Control
MH/KOP/2024/31/1667,Maharashtra,Kolhapur,Dengue,31,0,28-07-2024,30-07-2024,Under Surveillance
MH/NAS/2024/31/1668,Maharashtra,Nashik,Cholera,17,0,28-07-2024,30-07-2024,Under Control
OR/KPT/2024/31/1669,Odisha,Koraput,Food Poisoning,13,0,28-07-2024,30-07-2024,Under Control
UP/GKP/2024/31/1670,Uttar Pradesh,Gorakhpur,Japanese Encephalitis,6,0,28-07-2024,30-07-2024,Under Control
WB/HGL/2024/31/1671,West Bengal,Hooghly,Food Poisoning,44,0,28-07-2024,30-07-2024,Under Control
AP/CTR/2024/32/1861,Andhra Pradesh,Chittoor,Cholera,71,0,06-08-2024,06-08-2024,Under Surveillance
AP/SRK/2024/32/1862,Andhra Pradesh,Srikakulam,Acute Diarrheal Disease,82,1,04-08-2024,07-08-2024,Under Surveillance
AS/BON/2024/32/1863,Assam,Bongaigaon,Japanese Encephalitis,7,7,04-08-2024,08-08-2024,Under Control
AS/KOK/2024/32/1864,Assam,Kokrajhar,Measles,11,0,07-08-2024,07-08-2024,Under Surveillance
AS/LKM/2024/32/1865,Assam,Lakhimpur,Acute Diarrheal Disease,86,0,06-08-2024,06-08-2024,Under Surveillance
BH/JHB/2024/32/1866,Bihar,Jehanabad,Acute Diarrheal Disease,30,0,04-08-2024,08-08-2024,Under Surveillance
CT/BLD/2024/32/1867,Chhattisgarh,Balod,Acute Diarrheal Disease,169,0,06-08-2024,06-08-2024,Under Control
CT/BBZ/2024/32/1868,Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,24,0,04-08-2024,05-08-2024,Under Control
CT/BMT/2024/32/1869,Chhattisgarh,Bemetara,Acute Diarrheal Disease,52,0,07-08-2024,07-08-2024,Under Surveillance
CT/JJC/2024/32/1870,Chhattisgarh,Janjgir-Champa,Acute Diarrheal Disease,34,0,10-08-2024,11-08-2024,Under Surveillance
CT/RAP/2024/32/1871,Chhattisgarh,Raipur,Acute Diarrheal Disease,44,0,08-08-2024,11-08-2024,Under Surveillance
HR/KRN/2024/32/1882,Haryana,Karnal,Cholera,369,0,05-08-2024,06-08-2024,Under Surveillance
HR/YMN/2024/32/1883,Haryana,Yamunanagar,Hepatitis A,51,0,06-08-2024,06-08-2024,Under Surveillance
JK/ANT/2024/32/1885,Jammu and Kashmir,Anantnag,Hepatitis A,9,0,05-08-2024,05-08-2024,Under Surveillance
JH/HZB/2024/32/1891,Jharkhand,Hazaribagh,Dengue,45,0,08-08-2024,08-08-2024,Under Surveillance
KL/KNN/2024/32/1896,Kerala,Kannur,Hepatitis A,61,0,01-08-2024,05-08-2024,Under Surveillance
MP/GWL/2024/32/1907,Madhya Pradesh,Gwalior,Cholera,7,0,06-08-2024,06-08-2024,Under Control
MP/HRD/2024/32/1908,Madhya Pradesh,Harda,Cholera,28,0,05-08-2024,06-08-2024,Under Surveillance
MP/RWA/2024/32/1913,Madhya Pradesh,Rewa,Acute Diarrheal Disease,7,0,08-08-2024,08-08-2024,Under Control
MP/STN/2024/32/1916,Madhya Pradesh,Satna,Acute Diarrheal Disease,33,1,04-08-2024,05-08-2024,Under Surveillance
MP/SHD/2024/32/1918,Madhya Pradesh,Shahdol,Acute Diarrheal Disease,7,2,08-08-2024,08-08-2024,Under Surveillance
MP/SGR/2024/32/1921,Madhya Pradesh,Singrauli,Acute Diarrheal Disease,94,1,05-08-2024,05-08-2024,Under Surveillance
MH/PNE/2024/32/1929,Maharashtra,Pune,Zika Virus,1,0,03-08-2024,07-08-2024,Under Control
OR/BLA/2024/32/1932,Odisha,Baleshwar,Food Poisoning,112,0,08-08-2024,09-08-2024,Under Control
TN/DHP/2024/32/1940,Tamil Nadu,Dharmapuri,Mumps,5,0,07-08-2024,08-08-2024,Under Surveillance
TN/SVG/2024/32/1944,Tamil Nadu,Sivaganga,Dengue & Chikungunya,12,0,10-08-2024,10-08-2024,Under Surveillance
AS/BPT/2024/33/1970,Assam,Barpeta,Fever,20,0,12-08-2024,12-08-2024,Under Control
AS/DRN/2024/33/1971,Assam,Darrang,Food Poisoning,24,0,12-08-2024,14-08-2024,Under Surveillance
AS/DHE/2024/33/1972,Assam,Dhemaji,Food Poisoning,93,1,15-08-2024,16-08-2024,Under Surveillance
AS/KMP/2024/33/1973,Assam,Kamrup,Food Poisoning,93,0,05-08-2024,12-08-2024,Under Surveillance
AS/MJL/2024/33/1974,Assam,Majuli,Acute Diarrheal Disease,27,0,11-08-2024,13-08-2024,Under Control
BH/JMI/2024/33/1975,Bihar,Jamui,Acute Diarrheal Disease,18,0,12-08-2024,13-08-2024,Under Surveillance
BH/MDH/2024/33/1976,Bihar,Madhepura,Typhoid,29,0,14-08-2024,14-08-2024,Under Surveillance
CT/BLD/2024/33/1977,Chhattisgarh,Balod,Acute Diarrheal Disease,37,0,16-08-2024,17-08-2024,Under Control
CT/BDB/2024/33/1978,Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,47,0,11-08-2024,12-08-2024,Under Control
CT/BMT/2024/33/1979,Chhattisgarh,Bemetara,Acute Diarrheal Disease,51,0,16-08-2024,16-08-2024,Under Control
CT/BLP/2024/33/1980,Chhattisgarh,Bilaspur,Acute Diarrheal Disease,33,0,09-08-2024,12-08-2024,Under Control
CT/DRG/2024/33/1981,Chhattisgarh,Durg,Acute Diarrheal Disease,34,0,12-08-2024,13-08-2024,Under Control
CT/GRY/2024/33/1982,Chhattisgarh,Gariyaband,Acute Diarrheal Disease,36,0,13-08-2024,14-08-2024,Under Control
CT/SRG/2024/33/1983,Chhattisgarh,Surguja,Acute Diarrheal Disease,19,0,13-08-2024,14-08-2024,Under Control
CT/SRG/2024/33/1984,Chhattisgarh,Surguja,Acute Diarrheal Disease,35,0,12-08-2024,13-08-2024,Under Control
GJ/DHD/2024/33/1985,Gujarat,Dohad,Acute Diarrheal Disease,10,1,17-08-2024,17-08-2024,Under Control
JK/BOP/2024/33/1986,Jammu and Kashmir,Bandipora,Cholera,27,0,17-08-2024,17-08-2024,Under Surveillance
JK/BRM/2024/33/1987,Jammu and Kashmir,Baramulla,Chickenpox,12,0,16-08-2024,16-08-2024,Under Control
JK/BRM/2024/33/1988,Jammu and Kashmir,Baramulla,Hepatitis A,19,0,13-08-2024,14-08-2024,Under Control
JK/KPW/2024/33/1989,Jammu and Kashmir,Kupwara,Acute Diarrheal Disease,37,0,14-08-2024,14-08-2024,Under Surveillance
JK/RMB/2024/33/1990,Jammu and Kashmir,Ramban,Food Poisoning,134,1,16-08-2024,17-08-2024,Under Surveillance
JK/RSI/2024/33/1991,Jammu and Kashmir,Reasi,Cholera,41,0,13-08-2024,14-08-2024,Under Control
JK/SMB/2024/33/1992,Jammu and Kashmir,Samba,Human Rabies,1,1,14-08-2024,16-08-2024,Under Surveillance
JK/UDM/2024/33/1993,Jammu and Kashmir,Udhampur,Cholera,23,0,16-08-2024,16-08-2024,Under Control
JH/GRD/2024/33/1994,Jharkhand,Garhwa,Acute Diarrheal Disease,43,0,14-08-2024,16-08-2024,Under Surveillance
JH/GRD/2024/33/1995,Jharkhand,Giridih,Acute Diarrheal Disease,22,2,16-08-2024,16-08-2024,Under Control
JH/HZB/2024/33/1996,Jharkhand,Hazaribagh,Acute Diarrheal Disease,57,0,14-08-2024,16-08-2024,Under Surveillance
JH/KOD/2024/33/1997,Jharkhand,Koderma,Acute Diarrheal Disease,32,0,13-08-2024,13-08-2024,Under Surveillance
KN/BGV/2024/33/1998,Karnataka,Belagavi,Acute Diarrheal Disease,99,1,12-08-2024,12-08-2024,Under Surveillance
KN/BNG/2024/33/1999,Karnataka,Bengaluru Urban,Zika Virus,7,0,14-08-2024,17-08-2024,Under Surveillance
KN/RIC/2024/33/2000,Karnataka,Raichur,Chikungunya,23,0,12-08-2024,13-08-2024,Under Control
AP/ANK/2024/34/2043,Andhra Pradesh,Anakapalli,Food Poisoning,81,3,19-08-2024,23-08-2024,Under Surveillance
AP/CHT/2024/34/2044,Andhra Pradesh,Chittoor,Acute Diarrheal Disease,200,0,21-08-2024,23-08-2024,Under Surveillance
AP/SSS/2024/34/2045,Andhra Pradesh,Sri Sathya Sai,Cholera,47,0,20-08-2024,20-08-2024,Under Surveillance
AR/PUM/2024/34/2046,Arunachal Pradesh,Papum Pare,Acute Diarrheal Disease,19,2,21-08-2024,21-08-2024,Under Control
AS/KOK/2024/34/2047,Assam,Bongaigaon,Japanese Encephalitis,3,3,19-08-2024,22-08-2024,Under Control
AS/DIB/2024/34/2048,Assam,Dibrugarh,Acute Diarrheal Disease,48,0,20-08-2024,21-08-2024,Under Control
BH/ARG/2024/34/2049,Bihar,Aurangabad,Acute Diarrheal Disease,15,0,16-08-2024,19-08-2024,Under Surveillance
BH/MDB/2024/34/2050,Bihar,Madhubani,Acute Diarrheal Disease,22,0,24-08-2024,24-08-2024,Under Surveillance
CT/BIJ/2024/34/2051,Chhattisgarh,Bijapur,Dengue,9,0,22-08-2024,23-08-2024,Under Surveillance
CT/MSH/2024/34/2052,Chhattisgarh,Mahasamund,Acute Diarrheal Disease,48,0,24-08-2024,25-08-2024,Under Control
CT/RIP/2024/34/2053,Chhattisgarh,Raipur,Acute Diarrheal Disease,31,0,24-08-2024,24-08-2024,Under Surveillance
HR/YMN/2024/34/2054,Haryana,Yamunanagar,Hepatitis A,127,0,22-08-2024,22-08-2024,Under Control
JK/ANT/2024/34/2055,Jammu and Kashmir,Anantnag,Hepatitis A,21,0,20-08-2024,20-08-2024,Under Surveillance
JK/BRM/2024/34/2056,Jammu and Kashmir,Baramulla,Hepatitis A,20,0,25-08-2024,25-08-2024,Under Surveillance
JK/BRM/2024/34/2057,Jammu and Kashmir,Baramulla,Chickenpox,18,0,20-08-2024,20-08-2024,Under Surveillance
JH/JMT/2024/34/2058,Jharkhand,Jamtara,Acute Diarrheal Disease,39,0,21-08-2024,22-08-2024,Under Surveillance
KN/HVR/2024/34/2059,Karnataka,Haveri,Acute Diarrheal Disease,48,0,23-08-2024,23-08-2024,Under Control
KN/KLB/2024/34/2060,Karnataka,Kalaburagi,Acute Diarrheal Disease,23,0,20-08-2024,21-08-2024,Under Control
KN/RIC/2024/34/2061,Karnataka,Raichur,Dengue,31,0,19-08-2024,20-08-2024,Under Control
KN/RIC/2024/34/2062,Karnataka,Raichur,Acute Diarrheal Disease,14,0,24-08-2024,24-08-2024,Under Control
KN/TUM/2024/34/2063,Karnataka,Tumakuru,Food Poisoning,21,0,19-08-2024,20-08-2024,Under Control
KL/WYN/2024/34/2064,Kerala,Wayanad,Cholera,17,1,20-08-2024,22-08-2024,Under Surveillance
MP/BET/2024/34/2065,Madhya Pradesh,Betul,Acute Diarrheal Disease,77,2,23-08-2024,25-08-2024,Under Surveillance
MP/REW/2024/34/2066,Madhya Pradesh,Rewa,Acute Diarrheal Disease,19,0,23-08-2024,24-08-2024,Under Surveillance
MP/STN/2024/34/2067,Madhya Pradesh,Satna,Acute Diarrheal Disease,32,0,18-08-2024,19-08-2024,Under Surveillance
MP/SEN/2024/34/2068,Madhya Pradesh,Seoni,Acute Diarrheal Disease,40,2,22-08-2024,24-08-2024,Under Surveillance
MP/SHD/2024/34/2069,Madhya Pradesh,Shahdol,Cholera,7,0,21-08-2024,22-08-2024,Under Surveillance
MP/SHE/2024/34/2070,Madhya Pradesh,Sheopur,Acute Diarrheal Disease,105,2,23-08-2024,24-08-2024,Under Surveillance
MP/SHV/2024/34/2071,Madhya Pradesh,Shivpuri,Acute Diarrheal Disease,19,0,19-08-2024,21-08-2024,Under Control
MP/SIN/2024/34/2072,Madhya Pradesh,Singrauli,Acute Diarrheal Disease,26,0,21-08-2024,22-08-2024,Under Surveillance
MP/UMR/2024/34/2073,Madhya Pradesh,Umaria,Acute Diarrheal Disease,16,0,25-08-2024,25-08-2024,Under Control
MH/AMR/2024/34/2074,Maharashtra,Amravati,Food Poisoning,6,1,16-08-2024,20-08-2024,Under Control
MH/ARG/2024/34/2075,Maharashtra,Aurangabad,Food Poisoning,181,0,17-08-2024,19-08-2024,Under Control
AP/KKN/2024/35/2121,Andhra Pradesh,Kakinada,Food Poisoning,106,0,27-08-2024,29-08-2024,Under Surveillance
AS/HOJ/2024/35/2122,Assam,Hojai,Diphtheria,1,1,31-08-2024,31-08-2024,Under Surveillance
AS/LKM/2024/35/2123,Assam,Lakhimpur,Dysentry,30,1,26-08-2024,26-08-2024,Under Surveillance
BH/BXR/2024/35/2124,Bihar,Buxar,Acute Diarrheal Disease,65,0,25-08-2024,26-08-2024,Under Surveillance
BH/GYA/2024/35/2125,Bihar,Gaya,Acute Diarrheal Disease,15,2,29-08-2024,30-08-2024,Under Surveillance
BH/JMI/2024/35/2126,Bihar,Jamui,Acute Diarrheal Disease,11,0,27-08-2024,27-08-2024,Under Surveillance
CT/BOL/2024/35/2127,Chhattisgarh,Balod,Acute Diarrheal Disease,115,0,24-08-2024,27-08-2024,Under Control
CT/BAS/2024/35/2128,Chhattisgarh,Bastar,Acute Diarrheal Disease,97,0,30-08-2024,30-08-2024,Under Surveillance
CT/BMT/2024/35/2129,Chhattisgarh,Bemetara,Acute Diarrheal Disease,66,0,28-08-2024,29-08-2024,Under Control
CT/BJP/2024/35/2130,Chhattisgarh,Bijapur,Measles,6,0,27-08-2024,28-08-2024,Under Surveillance
CT/RIG/2024/35/2131,Chhattisgarh,Raigarh,Acute Diarrheal Disease,58,0,24-08-2024,27-08-2024,Under Surveillance
CT/RJG/2024/35/2132,Chhattisgarh,Rajnandgaon,Acute Diarrheal Disease,47,0,28-08-2024,29-08-2024,Under Control
