Unique ID,State/UT,District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status
JK/SNR/2024/23/1121,Jammu and Kashmir,Srinagar,Hepatitis A,16,0,04-06-2024,04-06-2024,Under Surveillance
JK/HAZ/2024/23/1122,Jharkhand,Hazaribagh,Food Poisoning,202,0,01-06-2024,03-06-2024,Under Control
JH/SIM/2024/23/1123,Jharkhand,Simdega,Rubella,15,0,04-06-2024,04-06-2024,Under Surveillance
JH/WSI/2024/23/1124,Jharkhand,West Singhbhum,Measles,40,0,07-06-2024,08-06-2024,Under Surveillance
KN/CKR/2024/23/1125,Karnataka,Chikballapur,Human Rabies,1,1,04-06-2024,04-06-2024,Under Control
KN/CHI/2024/23/1126,Karnataka,Chitradurga,Acute Diarrheal Disease,28,0,02-06-2024,03-06-2024,Under Control
KN/GDG/2024/23/1127,Karnataka,Gadag,Acute Diarrheal Disease,46,0,01-06-2024,06-06-2024,Under Surveillance
KN/MYS/2024/23/1128,Karnataka,Mysuru,Cholera,62,0,04-06-2024,04-06-2024,Under Control
KL/ERN/2024/23/1129,Kerala,Ernakulam,Acute Diarrheal Disease,10,0,01-06-2024,07-06-2024,Under Surveillance
KL/CNR/2024/23/1130,Kerala,Kannur,Hepatitis A,55,0,01-06-2024,07-06-2024,Under Surveillance
KL/KOA/2024/23/1131,Kerala,Kollam,Food Poisoning,69,0,03-06-2024,03-06-2024,Under Surveillance
KL/KTM/2024/23/1132,Kerala,Kottayam,Acute Diarrheal Disease,24,0,25-05-2024,05-06-2024,Under Control
KL/PLK/2024/23/1133,Kerala,Palakkad,Jaundice,24,0,03-06-2024,03-06-2024,Under Surveillance
MP/DTA/2024/23/1134,Madhya Pradesh,Datia,Acute Diarrheal Disease,16,0,04-06-2024,04-06-2024,Under Surveillance
MP/KHR/2024/23/1135,Madhya Pradesh,Khargone,Acute Diarrheal Disease,0,0,03-06-2024,03-06-2024,Under Surveillance
MP/SNA/2024/23/1136,Madhya Pradesh,Satna,Chicken Pox,11,0,05-06-2024,07-06-2024,Under Surveillance
MP/SHR/2024/23/1137,Madhya Pradesh,Sheopur,Measles,7,0,06-06-2024,07-06-2024,Under Surveillance
MP/SHL/2024/23/1138,Madhya Pradesh,Singrauli,Acute Diarrheal Disease,11,2,07-06-2024,07-06-2024,Under Surveillance
MH/GAD/2024/23/1139,Maharashtra,Gadchiroli,Malaria,8,1,06-06-2024,07-06-2024,Under Control
MH/KOP/2024/23/1140,Maharashtra,Kolhapur,Zika Virus,1,0,03-06-2024,03-06-2024,Under Surveillance
MH/NAG/2024/23/1141,Maharashtra,Nagpur,Cholera,5,0,04-06-2024,07-06-2024,Under Control
MH/THN/2024/23/1142,Maharashtra,Thane,Dengue,24,0,06-06-2024,07-06-2024,Under Surveillance
MG/EKH/2024/23/1143,Meghalaya,East Khasi Hills,Chickenpox,100,0,06-06-2024,07-06-2024,Under Surveillance
MG/EKH/2024/23/1144,Meghalaya,East Khasi Hills,Measles,28,0,07-06-2024,07-06-2024,Under Surveillance
MG/WKH/2024/23/1145,Meghalaya,Eastern West Khasi Hills,Hepatitis A,4,0,31-05-2024,05-06-2024,Under Surveillance
MG/RIB/2024/23/1146,Meghalaya,Ri Bhoi,Mushroom Poisoning,5,2,04-06-2024,05-06-2024,Under Surveillance
MG/WKH/2024/23/1147,Meghalaya,South West Khasi Hills,Mushroom Poisoning,10,2,03-06-2024,07-06-2024,Under Surveillance
MG/JTH/2024/23/1148,Meghalaya,West Jaintia Hills,Mushroom Poisoning,12,5,01-06-2024,05-06-2024,Under Surveillance
OR/DEO/2024/23/1149,Odisha,Deogarh,Food Poisoning,49,0,07-06-2024,07-06-2024,Under Control
AP/VKP/2024/24/1170,Andhra Pradesh,Alluri Sitharama Raju,Malaria,39,0,10-06-2024,13-06-2024,Under Control
AP/NLR/2024/24/1171,Andhra Pradesh,Annamayya,Acute Diarrheal Disease,28,0,11-06-2024,12-06-2024,Under Surveillance
AP/GNT/2024/24/1172,Andhra Pradesh,Bapatla,Acute Diarrheal Disease,44,0,15-06-2024,15-06-2024,Under Control
AP/CTR/2024/24/1173,Andhra Pradesh,Chittoor,Cholera,61,0,11-06-2024,15-06-2024,Under Surveillance
AP/CTR/2024/24/1174,Andhra Pradesh,Chittoor,Acute Diarrheal Disease,10,0,15-06-2024,15-06-2024,Under Surveillance
AP/CTR/2024/24/1175,Andhra Pradesh,Tirupati,Acute Diarrheal Disease,24,0,08-06-2024,13-06-2024,Under Control
AR/TWN/2024/24/1176,Arunachal Pradesh,Tawang,Chickenpox,10,0,11-06-2024,11-06-2024,Under Surveillance
AS/DAR/2024/24/1177,Assam,Darrang,Food Poisoning,5,0,08-06-2024,11-06-2024,Under Control
AS/GLP/2024/24/1178,Assam,Goalpara,Leptospirosis,20,0,11-06-2024,15-06-2024,Under Surveillance
AS/KOK/2024/24/1179,Assam,Kokrajhar,Food Poisoning,6,0,14-06-2024,15-06-2024,Under Surveillance
AS/KOK/2024/24/1180,Assam,Kokrajhar,Acute Diarrheal Disease,8,0,09-06-2024,10-06-2024,Under Surveillance
AS/KOK/2024/24/1181,Assam,Kokrajhar,Acute Diarrheal Disease,7,0,08-06-2024,10-06-2024,Under Surveillance
AS/NLB/2024/24/1182,Assam,Nalbari,Acute Diarrheal Disease,5,0,14-06-2024,16-06-2024,Under Surveillance
AS/NLB/2024/24/1183,Assam,Nalbari,Japanese Encephalitis,1,1,13-06-2024,16-06-2024,Under Surveillance
AS/SNT/2024/24/1184,Assam,Sonitpur,Food Poisoning,5,1,12-06-2024,12-06-2024,Under Control
BH/BHJ/2024/24/1185,Bihar,Bhojpur,Fever with Rash,11,0,12-06-2024,12-06-2024,Under Surveillance
BH/SRN/2024/24/1186,Bihar,Saran,Acute Diarrheal Disease,67,0,10-06-2024,12-06-2024,Under Surveillance
CT/BBR/2024/24/1187,Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,28,0,14-06-2024,14-06-2024,Under Control
CT/BBR/2024/24/1188,Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,24,0,10-06-2024,10-06-2024,Under Control
GJ/AND/2024/24/1189,Gujarat,Anand,Acute Diarrheal Disease,46,0,08-06-2024,10-06-2024,Under Control
GJ/GAN/2024/24/1190,Gujarat,Gandhinagar,Cholera,138,0,13-06-2024,14-06-2024,Under Surveillance
GJ/GAN/2024/24/1191,Gujarat,Gandhinagar,Cholera,12,0,09-06-2024,10-06-2024,Under Control
GJ/GAN/2024/24/1192,Gujarat,Gandhinagar,Cholera,11,0,10-06-2024,10-06-2024,Under Control
GJ/KHD/2024/24/1193,Gujarat,Kheda,Acute Diarrheal Disease,812,0,16-06-2024,16-06-2024,Under Control
GJ/KHD/2024/24/1194,Gujarat,Kheda,Acute Diarrheal Disease,27,0,15-06-2024,15-06-2024,Under Control
HP/MAN/2024/24/1195,Himachal Pradesh,Mandi,Hepatitis A,41,0,12-06-2024,15-06-2024,Under Surveillance
JK/BNP/2024/24/1196,Jammu and Kashmir,Bandipora,Hepatitis A,18,0,12-06-2024,12-06-2024,Under Control
JK/GBL/2024/24/1197,Jammu and Kashmir,Ganderbal,Acute Diarrheal Disease,38,0,12-06-2024,12-06-2024,Under Surveillance
JK/KTU/2024/24/1198,Jammu and Kashmir,Kathua,Mumps,10,0,10-06-2024,11-06-2024,Under Surveillance
JH/WSI/2024/24/1199,Jharkhand,West Singhbhum,Measles,28,0,10-06-2024,10-06-2024,Under Surveillance
JH/WSI/2024/24/1200,Jharkhand,West Singhbhum,Measles,30,0,08-06-2024,10-06-2024,Under Surveillance
AP/CTR/2024/25/1249,Andhra Pradesh,Chittoor,Food Poisoning,53,0,19-06-2024,21-06-2024,Under Control
AP/CTR/2024/25/1250,Andhra Pradesh,Chittoor,Acute Diarrheal Disease,14,0,11-06-2024,18-06-2024,Under Control
AP/VKP/2024/25/1251,Andhra Pradesh,Kakinada,Acute Diarrheal Disease,20,0,18-06-2024,21-06-2024,Under Surveillance
AR/LGG/2024/25/1252,Arunachal Pradesh,Longding,Cholera,78,3,18-06-2024,19-06-2024,Under Surveillance
AR/UPS/2024/25/1253,Arunachal Pradesh,Upper Subansiri,Measles,7,0,17-06-2024,17-06-2024,Under Surveillance
AS/DHU/2024/25/1254,Assam,Dhubri,Diphtheria,1,1,19-06-2024,19-06-2024,Under Surveillance
AS/KMR/2024/25/1255,Assam,Kamrup Metro,Chickenpox,56,0,18-06-2024,18-06-2024,Under Control
AS/NGO/2024/25/1256,Assam,Nagaon,Hepatitis A,10,0,21-06-2024,21-06-2024,Under Surveillance
CT/BMA/2024/25/1257,Chhattisgarh,Bemetara,Acute Diarrheal Disease,25,0,19-06-2024,19-06-2024,Under Control
CT/KAW/2024/25/1258,Chhattisgarh,Kabirdham,Acute Diarrheal Disease,42,0,22-06-2024,22-06-2024,Under Surveillance
GJ/AHM/2024/25/1259,Gujarat,Ahmadabad,Food Poisoning,60,0,21-06-2024,22-06-2024,Under Control
GJ/AND/2024/25/1260,Gujarat,Anand,Cholera,176,0,21-06-2024,21-06-2024,Under Surveillance
GJ/GSN/2024/25/1261,Gujarat,Gir Somnath,Dengue,16,0,20-06-2024,20-06-2024,Under Control
GJ/KUC/2024/25/1262,Gujarat,Kachchh,Cholera,30,0,20-06-2024,22-06-2024,Under Surveillance
GJ/KHD/2024/25/1263,Gujarat,Kheda,Acute Diarrheal Disease,53,0,20-06-2024,20-06-2024,Under Control
GJ/RJK/2024/25/1264,Gujarat,Rajkot,Cholera,46,6,22-06-2024,23-06-2024,Under Surveillance
GJ/VOD/2024/25/1265,Gujarat,Vadodara,Cholera,5,0,22-06-2024,23-06-2024,Under Surveillance
HP/KNG/2024/25/1266,Himachal Pradesh,Kangra,Acute Diarrheal Disease,115,0,22-06-2024,23-06-2024,Under Surveillance
JK/KWR/2024/25/1267,Jammu and Kashmir,Kupwara,Mumps,14,0,20-06-2024,20-06-2024,Under Surveillance
JH/DMK/2024/25/1268,Jharkhand,Dumka,Chickenpox,13,0,19-06-2024,20-06-2024,Under Surveillance
JH/ESI/2024/25/1269,Jharkhand,East Singhbum,Malaria,55,0,20-06-2024,20-06-2024,Under Surveillance
JH/GML/2024/25/1270,Jharkhand,Gumla,Measles,6,0,14-06-2024,21-06-2024,Under Control
KN/KPP/2024/25/1271,Karnataka,Koppal,Acute Diarrheal Disease,43,1,16-06-2024,18-06-2024,Under Surveillance
KN/KPP/2024/25/1272,Karnataka,Koppal,Cholera,55,0,16-06-2024,17-06-2024,Under Surveillance
KN/MNY/2024/25/1273,Karnataka,Mandya,Acute Diarrheal Disease,19,0,20-06-2024,20-06-2024,Under Control
KN/TUM/2024/25/1275,Karnataka,Tumakuru,Cholera,9,0,20-06-2024,21-06-2024,Under Control
KN/TUM/2024/25/1276,Karnataka,Tumakuru,Human Rabies,1,1,18-06-2024,18-06-2024,Under Control
MH/JGA/2024/25/1286,Maharashtra,Jalgaon,Acute Diarrheal Disease,115,0,18-06-2024,19-06-2024,Under Control
MH/KOP/2024/25/1287,Maharashtra,Kolhapur,Dengue,24,0,22-06-2024,23-06-2024,Under Surveillance
